group,date,total_listening_hours
Suburb Talks,2024-03-01,981
Suburb Talks,2024-03-02,994
Suburb Talks,2024-03-03,1002
Suburb Talks,2024-03-04,972
Suburb Talks,2024-03-05,1004
Suburb Talks,2024-03-06,1001
Suburb Talks,2024-03-07,933
Suburb Talks,2024-03-08,985
Suburb Talks,2024-03-09,982
Suburb Talks,2024-03-10,933
Suburb Talks,2024-03-11,1090
Suburb Talks,2024-03-12,933
Suburb Talks,2024-03-13,1049
Suburb Talks,2024-03-14,926
Suburb Talks,2024-03-15,992
Suburb Talks,2024-03-16,1479
Suburb Talks,2024-03-17,1493
Suburb Talks,2024-03-18,1540
Suburb Talks,2024-03-19,1496
Suburb Talks,2024-03-20,1433
Suburb Talks,2024-03-21,1517
Suburb Talks,2024-03-22,1488
Suburb Talks,2024-03-23,1519
Suburb Talks,2024-03-24,1500
Suburb Talks,2024-03-25,1588
Suburb Talks,2024-03-26,1454
Suburb Talks,2024-03-27,1476
Suburb Talks,2024-03-28,1470
Suburb Talks,2024-03-29,1433
Suburb Talks,2024-03-30,1530
Suburb Talks,2024-03-31,1449
Under the Influence,2024-03-01,988
Under the Influence,2024-03-02,1083
Under the Influence,2024-03-03,1002
Under the Influence,2024-03-04,938
Under the Influence,2024-03-05,993
Under the Influence,2024-03-06,1009
Under the Influence,2024-03-07,1057
Under the Influence,2024-03-08,1030
Under the Influence,2024-03-09,1007
Under the Influence,2024-03-10,968
Under the Influence,2024-03-11,982
Under the Influence,2024-03-12,972
Under the Influence,2024-03-13,948
Under the Influence,2024-03-14,992
Under the Influence,2024-03-15,984
Under the Influence,2024-03-16,960
Under the Influence,2024-03-17,967
Under the Influence,2024-03-18,1015
Under the Influence,2024-03-19,951
Under the Influence,2024-03-20,972
Under the Influence,2024-03-21,956
Under the Influence,2024-03-22,945
Under the Influence,2024-03-23,1013
Under the Influence,2024-03-24,1040
Under the Influence,2024-03-25,1006
Under the Influence,2024-03-26,1004
Under the Influence,2024-03-27,954
Under the Influence,2024-03-28,1062
Under the Influence,2024-03-29,1053
Under the Influence,2024-03-30,989
Under the Influence,2024-03-31,1057
